"AccSpeciesName","OrigValueStr"
"Helianthus annuus","yellow"
"Helianthus tuberosus","yellow"
"Helichrysum arenarium","yellow"
"Hemerocallis fulva","yellow"
"Hemerocallis lilioasphodelus","yellow"
"Herminium monorchis","yellow"
"Hibiscus trionum","yellow"
"Pilosella anobrachia","yellow"
"Hieracium alpinum","yellow"
"Hieracium amplexicaule","yellow"
"Pilosella anchusoides","yellow"
"Pilosella glacialis","yellow"
"Pilosella piloselliflora","yellow"
"Pilosella arida","yellow"
"Pilosella arnoseroides","yellow"
"Hieracium arolae","yellow"
"Pilosella erythrochrista","yellow"
"Hieracium atratum","yellow"
"Pilosella auriculoides","yellow"
"Pilosella basifurca","yellow"
"Hieracium bauhini","yellow"
"Hieracium benzianum","yellow"
"Hieracium bifidum","yellow"
"Hieracium bifurcum","yellow"
"Hieracium bocconei","yellow"
"Pilosella brachiata","yellow"
"Pilosella brachycoma","yellow"
"Hieracium bupleuroides","yellow"
"Hieracium caesium","yellow"
"Pilosella caespitosa","yellow"
"Pilosella calodon","yellow"
"Hieracium cavillieri","yellow"
"Pilosella chaetocephala","yellow"
"Pilosella iserana","yellow"
"Hieracium chondrillifolium","yellow"
"Pilosella cinereiformis","yellow"
"Hieracium pseudalpinum subsp. cochlearioides","yellow"
"Pilosella cochlearis","yellow"
"Hieracium cottetii","yellow"
"Hieracium cydoniifolium","yellow"
"Hieracium cymosum","yellow"
"Hieracium dasytrichum","yellow"
"Pilosella densiflora","yellow"
"Hieracium dentatum","yellow"
"Hieracium diaphanoides","yellow"
"Hieracium dollineri","yellow"
"Pilosella echioides","yellow"
"Pilosella euchaetia","yellow"
"Pilosella crassiseta","yellow"
"Pilosella fallacina","yellow"
"Pilosella setigera","yellow"
"Hieracium flagellare","yellow"
"Hieracium flagelliferum","yellow"
"Pilosella floribunda","yellow"
"Hieracium glaucomorphum subsp. franconicum","yellow"
"Hieracium fuscocinereum","yellow"
"Pilosella fusca","yellow"
"Hieracium glabratum","yellow"
"Hieracium glaucinum","yellow"
"Hieracium glaucum","yellow"
"Pilosella glomerata","yellow"
"Hieracium harzianum","yellow"
"Pilosella heterodoxa","yellow"
"Hieracium hoppeanum","yellow"
"Hieracium humile","yellow"
"Hieracium hybridum","yellow"
"Pilosella hypeurya","yellow"
"Hieracium inuloides","yellow"
"Hieracium iseranum","yellow"
"Hieracium dermophyllum subsp. juraniforme","yellow"
"Hieracium jurassicum","yellow"
"Pilosella kalksburgensis","yellow"
"Hieracium balbisianum subsp. kerneri","yellow"
"Pilosella koernickeana","yellow"
"lachenalii subsp. subsp. cruentifolium","yellow"
"Pilosella lactucella","yellow"
"Hieracium laevigatum","yellow"
"Hieracium vasconicum subsp. laureolum","yellow"
"Pilosella leptoclados","yellow"
"Pilosella leptophyton","yellow"
"Pilosella promeces","yellow"
"Pilosella longisquama","yellow"
"Hieracium lycopifolium","yellow"
"Hieracium froelichianum subsp. macilentum","yellow"
"Pilosella macranthella","yellow"
"Pilosella macrantha","yellow"
"Pilosella macrostolona","yellow"
"Hieracium maculatum","yellow"
"Hieracium melanops","yellow"
"Hieracium fritzei","yellow"
"Hieracium murorum","yellow"
"Pilosella heterodoxiformis","yellow"
"Hieracium nigrescens","yellow"
"Pilosella corymbuloides","yellow"
"Hieracium norvegicum","yellow"
"Pilosella notha","yellow"
"Hieracium onosmoides","yellow"
"Hieracium oxyodon","yellow"
"Hieracium pallescens","yellow"
"Pilosella paragoga","yellow"
"Pilosella peleteriana","yellow"
"Hieracium picroides","yellow"
"Hieracium pietroszense","yellow"
"Hieracium piliferum","yellow"
"Pilosella officinarum","yellow"
"Pilosella piloselliflora","yellow"
"Pilosella pilosellina","yellow"
"Pilosella piloselloides","yellow"
"Hieracium pilosum","yellow"
"Hieracium sabaudum","yellow"
"Pilosella polymastix","yellow"
"Hieracium valdepilosum subsp. porrectum","yellow"
"Hieracium prenanthoides","yellow"
"Hieracium erucophyllum subsp. prinzii","yellow"
"Pilosella prussica","yellow"
"Hieracium pseud-effusum","yellow"
"Hieracium pseudocorymbosum","yellow"
"Hieracium pseudodolichaetum","yellow"
"Hieracium racemosum","yellow"
"Hieracium rapunculoides","yellow"
"Hieracium rohacsense","yellow"
"Pilosella rothiana","yellow"
"Hieracium sabaudum","yellow"
"Hieracium saxifragum","yellow"
"Hieracium schmidtii","yellow"
"Pilosella schneidii","yellow"
"Pilosella schultesii","yellow"
"Pilosella corymbulifera","yellow"
"Hieracium scorzonerifolium","yellow"
"Hieracium serratum","yellow"
"Hieracium simia","yellow"
